iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter22,gru,AUC,0.8305370798412923,,,,,,,,,,
iter22,gru,Precision_1,0.7601351351351351,,,,,,,,,,
iter22,gru,Recall_1,0.7217321571772254,,,,,,,,,,
iter22,gru,F1_1,0.7404360345536816,,,,,,,,,,
iter22,lstm,Accuracy,0.7515176042088223,,,,,,,,,,
iter22,lstm,AUC,0.832967750051103,,,,,,,,,,
iter22,lstm,Precision_1,0.7988668555240793,,,,,,,,,,
iter22,lstm,Recall_1,0.6784282277465918,,,,,,,,,,
iter22,lstm,F1_1,0.7337380745880312,,,,,,,,,,
iter22,tabular,,,RandomForest,0.8447,0.7624,,,,0.7797,0.7378,0.7581,
iter22,tabular,,,XGBoost,0.8151,0.7232,,,,0.7768,0.6335,0.6979,
